School,Year,Source,Target
College of Engineering and Applied Sciences,Class of 2021,South_40,53
College of Engineering and Applied Sciences,Class of 2021,53,BD
College of Engineering and Applied Sciences,Class of 2021,Village,53
College of Engineering and Applied Sciences,Class of 2021,53,Village_Dining
College of Engineering and Applied Sciences,Class of 2021,AC_Frat_Row,53
College of Engineering and Applied Sciences,Class of 2021,53,Village_Dining
College of Engineering and Applied Sciences,Class of 2021,Bauer_Law_School,53
College of Engineering and Applied Sciences,Class of 2021,DUC_Area,53
College of Engineering and Applied Sciences,Class of 2021,Bio_Psych,53
College of Engineering and Applied Sciences,Class of 2021,53,DUC
College of Engineering and Applied Sciences,Class of 2021,Chemistry,53
College of Engineering and Applied Sciences,Class of 2021,53,DUC
College of Engineering and Applied Sciences,Class of 2021,Engineering_Quad,53
College of Engineering and Applied Sciences,Class of 2021,53,DUC
College of Engineering and Applied Sciences,Class of 2021,Brookings_Quad,53
College of Engineering and Applied Sciences,Class of 2021,Brown_School,53
College of Engineering and Applied Sciences,Class of 2021,53,DUC
College of Engineering and Applied Sciences,Class of 2021,Sam_Fox,53
College of Engineering and Applied Sciences,Class of 2021,Northest_Corner,53
College of Arts and Sciences,Class of 2022,South_40,54
College of Arts and Sciences,Class of 2022,54,BD
College of Arts and Sciences,Class of 2022,Village,54
College of Arts and Sciences,Class of 2022,54,Village_Dining
College of Arts and Sciences,Class of 2022,AC_Frat_Row,54
College of Arts and Sciences,Class of 2022,54,Village_Dining
College of Arts and Sciences,Class of 2022,Bauer_Law_School,54
College of Arts and Sciences,Class of 2022,54,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,DUC_Area,54
College of Arts and Sciences,Class of 2022,54,DUC
College of Arts and Sciences,Class of 2022,Bio_Psych,54
College of Arts and Sciences,Class of 2022,54,DUC
College of Arts and Sciences,Class of 2022,Chemistry,54
College of Arts and Sciences,Class of 2022,54,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Engineering_Quad,54
College of Arts and Sciences,Class of 2022,Brookings_Quad,54
College of Arts and Sciences,Class of 2022,54,DUC
College of Arts and Sciences,Class of 2022,Brown_School,54
College of Arts and Sciences,Class of 2022,Sam_Fox,54
College of Arts and Sciences,Class of 2022,Northest_Corner,54
Olin Business School,Class of 2019,South_40,55
Olin Business School,Class of 2019,55,BD
Olin Business School,Class of 2019,55,DUC
Olin Business School,Class of 2019,Village,55
Olin Business School,Class of 2019,55,DUC
Olin Business School,Class of 2019,55,Law_School_Cafeteria
Olin Business School,Class of 2019,AC_Frat_Row,55
Olin Business School,Class of 2019,55,DUC
Olin Business School,Class of 2019,55,Law_School_Cafeteria
Olin Business School,Class of 2019,55,Whispers
Olin Business School,Class of 2019,Bauer_Law_School,55
Olin Business School,Class of 2019,55,DUC
Olin Business School,Class of 2019,55,Law_School_Cafeteria
Olin Business School,Class of 2019,55,Whispers
Olin Business School,Class of 2019,DUC_Area,55
Olin Business School,Class of 2019,55,DUC
Olin Business School,Class of 2019,55,Holmes
Olin Business School,Class of 2019,55,Whispers
Olin Business School,Class of 2019,Bio_Psych,55
Olin Business School,Class of 2019,55,DUC
Olin Business School,Class of 2019,55,Holmes
Olin Business School,Class of 2019,55,Whispers
Olin Business School,Class of 2019,Chemistry,55
Olin Business School,Class of 2019,Engineering_Quad,55
Olin Business School,Class of 2019,55,Hillman
Olin Business School,Class of 2019,55,Holmes
Olin Business School,Class of 2019,55,Whispers
Olin Business School,Class of 2019,Brookings_Quad,55
Olin Business School,Class of 2019,55,DUC
Olin Business School,Class of 2019,55,Holmes
Olin Business School,Class of 2019,55,Whispers
Olin Business School,Class of 2019,Brown_School,55
Olin Business School,Class of 2019,55,Hillman
Olin Business School,Class of 2019,55,Holmes
Olin Business School,Class of 2019,55,Whispers
Olin Business School,Class of 2019,Sam_Fox,55
Olin Business School,Class of 2019,55,Hillman
Olin Business School,Class of 2019,55,Holmes
Olin Business School,Class of 2019,55,Whispers
Olin Business School,Class of 2019,Northest_Corner,55
College of Engineering and Applied Sciences,Class of 2020,South_40,56
College of Engineering and Applied Sciences,Class of 2020,56,BD
College of Engineering and Applied Sciences,Class of 2020,56,DUC
College of Engineering and Applied Sciences,Class of 2020,Village,56
College of Engineering and Applied Sciences,Class of 2020,56,DUC
College of Engineering and Applied Sciences,Class of 2020,56,Village_Dining
College of Engineering and Applied Sciences,Class of 2020,AC_Frat_Row,56
College of Engineering and Applied Sciences,Class of 2020,56,DUC
College of Engineering and Applied Sciences,Class of 2020,56,Village_Dining
College of Engineering and Applied Sciences,Class of 2020,Bauer_Law_School,56
College of Engineering and Applied Sciences,Class of 2020,DUC_Area,56
College of Engineering and Applied Sciences,Class of 2020,56,DUC
College of Engineering and Applied Sciences,Class of 2020,56,Holmes
College of Engineering and Applied Sciences,Class of 2020,56,Whispers
College of Engineering and Applied Sciences,Class of 2020,Bio_Psych,56
College of Engineering and Applied Sciences,Class of 2020,56,DUC
College of Engineering and Applied Sciences,Class of 2020,56,Holmes
College of Engineering and Applied Sciences,Class of 2020,56,Stanleys
College of Engineering and Applied Sciences,Class of 2020,56,Whispers
College of Engineering and Applied Sciences,Class of 2020,Chemistry,56
College of Engineering and Applied Sciences,Class of 2020,Engineering_Quad,56
College of Engineering and Applied Sciences,Class of 2020,56,DUC
