School,Year,Start Area,Dining Hall
College of Engineering and Applied Sciences,Class of 2021,South_40,BD
College of Engineering and Applied Sciences,Class of 2021,Village,Village_Dining
College of Engineering and Applied Sciences,Class of 2021,AC_Frat_Row,Village_Dining
College of Engineering and Applied Sciences,Class of 2021,Bio_Psych,DUC
College of Engineering and Applied Sciences,Class of 2021,Chemistry,DUC
College of Engineering and Applied Sciences,Class of 2021,Engineering_Quad,DUC
College of Engineering and Applied Sciences,Class of 2021,Brown_School,DUC
College of Arts and Sciences,Class of 2022,South_40,BD
College of Arts and Sciences,Class of 2022,Village,Village_Dining
College of Arts and Sciences,Class of 2022,AC_Frat_Row,Village_Dining
College of Arts and Sciences,Class of 2022,Bauer_Law_School,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,DUC_Area,DUC
College of Arts and Sciences,Class of 2022,Bio_Psych,DUC
College of Arts and Sciences,Class of 2022,Chemistry,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Brookings_Quad,DUC
Olin Business School,Class of 2019,South_40,BD
Olin Business School,Class of 2019,South_40,DUC
Olin Business School,Class of 2019,Village,DUC
Olin Business School,Class of 2019,Village,Law_School_Cafeteria
Olin Business School,Class of 2019,AC_Frat_Row,DUC
Olin Business School,Class of 2019,AC_Frat_Row,Law_School_Cafeteria
Olin Business School,Class of 2019,AC_Frat_Row,Whispers
Olin Business School,Class of 2019,Bauer_Law_School,DUC
Olin Business School,Class of 2019,Bauer_Law_School,Law_School_Cafeteria
Olin Business School,Class of 2019,Bauer_Law_School,Whispers
Olin Business School,Class of 2019,DUC_Area,DUC
Olin Business School,Class of 2019,DUC_Area,Holmes
Olin Business School,Class of 2019,DUC_Area,Whispers
Olin Business School,Class of 2019,Bio_Psych,DUC
Olin Business School,Class of 2019,Bio_Psych,Holmes
Olin Business School,Class of 2019,Bio_Psych,Whispers
Olin Business School,Class of 2019,Engineering_Quad,Hillman
Olin Business School,Class of 2019,Engineering_Quad,Holmes
Olin Business School,Class of 2019,Engineering_Quad,Whispers
Olin Business School,Class of 2019,Brookings_Quad,DUC
Olin Business School,Class of 2019,Brookings_Quad,Holmes
Olin Business School,Class of 2019,Brookings_Quad,Whispers
Olin Business School,Class of 2019,Brown_School,Hillman
Olin Business School,Class of 2019,Brown_School,Holmes
Olin Business School,Class of 2019,Brown_School,Whispers
Olin Business School,Class of 2019,Sam_Fox,Hillman
Olin Business School,Class of 2019,Sam_Fox,Holmes
Olin Business School,Class of 2019,Sam_Fox,Whispers
College of Engineering and Applied Sciences,Class of 2020,South_40,BD
College of Engineering and Applied Sciences,Class of 2020,South_40,DUC
College of Engineering and Applied Sciences,Class of 2020,Village,DUC
College of Engineering and Applied Sciences,Class of 2020,Village,Village_Dining
College of Engineering and Applied Sciences,Class of 2020,AC_Frat_Row,DUC
College of Engineering and Applied Sciences,Class of 2020,AC_Frat_Row,Village_Dining
College of Engineering and Applied Sciences,Class of 2020,DUC_Area,DUC
College of Engineering and Applied Sciences,Class of 2020,DUC_Area,Holmes
College of Engineering and Applied Sciences,Class of 2020,DUC_Area,Whispers
College of Engineering and Applied Sciences,Class of 2020,Bio_Psych,DUC
College of Engineering and Applied Sciences,Class of 2020,Bio_Psych,Holmes
College of Engineering and Applied Sciences,Class of 2020,Bio_Psych,Stanleys
College of Engineering and Applied Sciences,Class of 2020,Bio_Psych,Whispers
College of Engineering and Applied Sciences,Class of 2020,Engineering_Quad,DUC
College of Engineering and Applied Sciences,Class of 2020,Engineering_Quad,Stanleys
College of Engineering and Applied Sciences,Class of 2020,Engineering_Quad,Whispers
College of Engineering and Applied Sciences,Class of 2020,Northwest_Corner,DUC
College of Engineering and Applied Sciences,Class of 2020,Northwest_Corner,Holmes
College of Engineering and Applied Sciences,Class of 2020,Northwest_Corner,Stanleys
College of Engineering and Applied Sciences,Class of 2020,Northwest_Corner,Whispers
College of Arts and Sciences,Class of 2021,South_40,BD
College of Arts and Sciences,Class of 2021,South_40,DUC
College of Arts and Sciences,Class of 2021,South_40,Einsteins
College of Arts and Sciences,Class of 2021,South_40,Off_Campus
College of Arts and Sciences,Class of 2021,Village,DUC
College of Arts and Sciences,Class of 2021,Village,Einsteins
College of Arts and Sciences,Class of 2021,AC_Frat_Row,DUC
College of Arts and Sciences,Class of 2021,AC_Frat_Row,Einsteins
College of Arts and Sciences,Class of 2021,Bauer_Law_School,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2021,Bauer_Law_School,DUC
College of Arts and Sciences,Class of 2021,DUC_Area,DUC
College of Arts and Sciences,Class of 2021,Bio_Psych,DUC
College of Arts and Sciences,Class of 2021,Bio_Psych,Einsteins
College of Arts and Sciences,Class of 2021,Brown_School,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2021,Brown_School,DUC
College of Engineering and Applied Sciences,Class of 2022,South_40,BD
College of Engineering and Applied Sciences,Class of 2022,Village,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2022,Village,Village_Dining
College of Engineering and Applied Sciences,Class of 2022,AC_Frat_Row,DUC
College of Engineering and Applied Sciences,Class of 2022,AC_Frat_Row,Einsteins
College of Engineering and Applied Sciences,Class of 2022,AC_Frat_Row,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2022,DUC_Area,DUC
College of Engineering and Applied Sciences,Class of 2022,DUC_Area,Einsteins
College of Engineering and Applied Sciences,Class of 2022,DUC_Area,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2022,Bio_Psych,DUC
College of Engineering and Applied Sciences,Class of 2022,Engineering_Quad,DUC
College of Engineering and Applied Sciences,Class of 2022,Engineering_Quad,Holmes
College of Engineering and Applied Sciences,Class of 2022,Engineering_Quad,Loop_Dining
College of Engineering and Applied Sciences,Class of 2022,Engineering_Quad,Stanleys
College of Arts and Sciences,Class of 2019,South_40,BD
College of Arts and Sciences,Class of 2019,South_40,DUC
College of Arts and Sciences,Class of 2019,Village,DUC
College of Arts and Sciences,Class of 2019,Village,Village_Dining
College of Arts and Sciences,Class of 2019,AC_Frat_Row,BD
College of Arts and Sciences,Class of 2019,AC_Frat_Row,DUC
College of Arts and Sciences,Class of 2019,Bauer_Law_School,BD
College of Arts and Sciences,Class of 2019,Bauer_Law_School,DUC
College of Arts and Sciences,Class of 2019,DUC_Area,BD
College of Arts and Sciences,Class of 2019,DUC_Area,DUC
College of Arts and Sciences,Class of 2019,Engineering_Quad,DUC
College of Arts and Sciences,Class of 2019,Engineering_Quad,Holmes
College of Arts and Sciences,Class of 2019,Brookings_Quad,BD
College of Arts and Sciences,Class of 2019,Brookings_Quad,DUC
College of Arts and Sciences,Class of 2019,South_40,BD
College of Arts and Sciences,Class of 2019,South_40,DUC
College of Arts and Sciences,Class of 2019,Village,DUC
College of Arts and Sciences,Class of 2019,Village,Village_Dining
College of Arts and Sciences,Class of 2019,AC_Frat_Row,BD
College of Arts and Sciences,Class of 2019,AC_Frat_Row,DUC
College of Arts and Sciences,Class of 2019,Bauer_Law_School,DUC
College of Arts and Sciences,Class of 2019,DUC_Area,DUC
College of Arts and Sciences,Class of 2019,Bio_Psych,DUC
College of Arts and Sciences,Class of 2019,Bio_Psych,Hillman
College of Arts and Sciences,Class of 2019,Bio_Psych,Whispers
College of Arts and Sciences,Class of 2019,Chemistry,DUC
College of Arts and Sciences,Class of 2019,Chemistry,Whispers
College of Arts and Sciences,Class of 2021,South_40,BD
College of Arts and Sciences,Class of 2021,Village,Village_Dining
College of Arts and Sciences,Class of 2021,AC_Frat_Row,BD
College of Arts and Sciences,Class of 2021,AC_Frat_Row,DUC
College of Arts and Sciences,Class of 2021,AC_Frat_Row,Einsteins
College of Arts and Sciences,Class of 2021,Bauer_Law_School,BD
College of Arts and Sciences,Class of 2021,DUC_Area,DUC
